Arquivo,Gabarito,Predicao_Raw,Predicao_Fuzzy,Levenshtein_Raw,Levenshtein_Fuzzy,Similaridade_Raw,Similaridade_Fuzzy,CER_Raw,CER_Fuzzy,WER_Raw,WER_Fuzzy,Accuracy_Raw,Accuracy80_Raw,Accuracy_Fuzzy,Accuracy80_Fuzzy,Tempo_Inferencia
P0266.jpg,monfast,manfast,monfast,1,0,0.8571428571428572,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0868067741394043
P0102.jpg,rosu,rosu,rosu,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06952667236328125
P1046.jpg,nameton,namefon,namefon,1,1,0.8571428571428572,0.8571428571428572,0.14285714285714285,0.14285714285714285,1.0,1.0,0.0,1.0,0.0,1.0,0.06279468536376953
P0793.jpg,epitra,vaxim nips,exium mups,9,8,0.125,0.25,1.5,1.3333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.10631060600280762
P0903.jpg,ac pr,aepr,ac pr,2,0,0.6666666666666667,1.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.08389925956726074
P0468.jpg,coralcal,con 3241,conit xr,6,6,0.25,0.375,0.75,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.12263202667236328
P0782.jpg,lecor,lecos,lecor,1,0,0.8,1.0,0.2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.06051516532897949
P0307.jpg,spilac,spilac,spilac,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07767462730407715
P0129.jpg,montelon,manhelon,montelon,2,0,0.75,1.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07755231857299805
P0333.jpg,rodiflex,radifen,radiflex,3,1,0.6666666666666667,0.875,0.375,0.125,1.0,1.0,0.0,0.0,0.0,1.0,0.07400035858154297
P1088.jpg,folive,foline,folzin,1,3,0.8333333333333334,0.6666666666666667,0.16666666666666666,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.06047558784484863
