Arquivo,Gabarito,Predicao_Raw,Predicao_Fuzzy,Levenshtein_Raw,Levenshtein_Fuzzy,Similaridade_Raw,Similaridade_Fuzzy,CER_Raw,CER_Fuzzy,WER_Raw,WER_Fuzzy,Accuracy_Raw,Accuracy80_Raw,Accuracy_Fuzzy,Accuracy80_Fuzzy,Tempo_Inferencia
P0266.jpg,monfast,manfast<|im_end|>,omastin,11,5,0.5,0.5714285714285714,1.5714285714285714,0.7142857142857143,1.0,1.0,0.0,0.0,0.0,0.0,1.6797380447387695
P0102.jpg,rosu,rosu<|im_end|>,rosetn,10,3,0.4444444444444444,0.6,2.5,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.06652545928955078
P1046.jpg,nameton,namefon<|im_end|>,namefon,11,1,0.5,0.8571428571428572,1.5714285714285714,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,1.0,0.07085013389587402
P0793.jpg,epitra,нохит нирс<|im_end|>,nimens,19,6,0.07692307692307687,0.16666666666666663,3.1666666666666665,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.13217902183532715
P0903.jpg,ac pr,aepr<|im_end|>,priten,12,6,0.3157894736842105,0.36363636363636365,2.4,1.2,1.0,1.0,0.0,0.0,0.0,0.0,0.07775402069091797
P0468.jpg,coralcal,con 32.1<|im_end|>,cotnim,16,6,0.15384615384615385,0.2857142857142857,2.0,0.75,2.0,1.0,0.0,0.0,0.0,0.0,0.11979246139526367
P0782.jpg,lecor,levocetirizine<|im_end|>,levothyroxine,20,9,0.27586206896551724,0.4444444444444444,4.0,1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.13374590873718262
P0307.jpg,spilac,spilac<|im_end|>,spilac,10,0,0.5454545454545454,1.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07506346702575684
P0129.jpg,montelon,manhelon<|im_end|>,montelon,12,0,0.46153846153846156,1.0,1.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07433009147644043
P0333.jpg,rodiflex,radiflex<|im_end|>,radiflex,11,1,0.5384615384615384,0.875,1.375,0.125,1.0,1.0,0.0,0.0,0.0,1.0,0.06386566162109375
P1088.jpg,folive,folive<|im_end|>,folive,10,0,0.5454545454545454,1.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06490874290466309
P0089.jpg,myolax,myolax<|im_end|>,myolax,10,0,0.5454545454545454,1.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07877039909362793
P0951.jpg,fenix,fenix-<|im_end|>,fenisen,11,3,0.47619047619047616,0.6666666666666667,2.2,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.07750940322875977
P0478.jpg,gavinaaf,gavinaaf<|im_end|>,gavinaaf,10,0,0.6153846153846154,1.0,1.25,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.09151816368103027
P0594.jpg,novotril,novomil<|im_end|>,novonil,12,2,0.48,0.8,1.5,0.25,1.0,1.0,0.0,0.0,0.0,1.0,0.07429647445678711
P0973.jpg,nystat,nystat<|im_end|>,nystat,10,0,0.5454545454545454,1.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07424163818359375
P1041.jpg,prolix,prolix<|im_end|>,prolix,10,0,0.5454545454545454,1.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06366515159606934
P0045.jpg,???,докурар<|im_end|>,nimens,17,6,0.0,0.0,5.666666666666667,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08808732032775879
P0275.jpg,dexter,dextal<|im_end|>,dexilend,11,4,0.4545454545454546,0.5714285714285714,1.8333333333333333,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.07414102554321289
P0276.jpg,emprelina,empalina<|im_end|>,emprelina,12,0,0.5185185185185186,1.0,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07402682304382324
P0110.jpg,emep,етеп<|im_end|>,nimens,12,4,0.2222222222222222,0.4,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07895135879516602
P0114.jpg,klobid,klabid<|im_end|>,klabid,11,1,0.4545454545454546,0.8333333333333334,1.8333333333333333,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,1.0,0.07761907577514648
P0831.jpg,epitra,epiriva<|im_end|>,priten,13,4,0.4347826086956522,0.5,2.1666666666666665,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0740511417388916
P0057.jpg,rupin,subtilin<|im_end|>,biltin,15,4,0.26086956521739135,0.36363636363636365,3.0,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.07403016090393066
P0546.jpg,esonix,fosmix<|im_end|>,cefixime,14,6,0.2727272727272727,0.4285714285714286,2.3333333333333335,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07395243644714355
P0783.jpg,a-fun,a-fun<|im_end|>,panied,10,5,0.5,0.36363636363636365,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0739278793334961
P1067.jpg,zithrox,25throx<|im_end|>,roxim,12,6,0.41666666666666663,0.5,1.7142857142857142,0.8571428571428571,1.0,1.0,0.0,0.0,0.0,0.0,0.08957862854003906
P0825.jpg,neuro,neuro<|im_end|>,neurolin,10,3,0.5,0.7692307692307692,2.0,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.07060456275939941
P0895.jpg,folzin,folcin<|im_end|>,ointment,11,7,0.4545454545454546,0.4285714285714286,1.8333333333333333,1.1666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.06121087074279785
P0290.jpg,voltalin,vorflaxil<|im_end|>,voltalin -d,13,3,0.5185185185185186,0.8421052631578947,1.625,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.11002206802368164
P0382.jpg,fylox,fylox<|im_end|>,fylox,10,0,0.5,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07782578468322754
P0595.jpg,voltalin,voltalyn<|im_end|>,voltalin,10,0,0.6153846153846154,1.0,1.25,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07407188415527344
P0293.jpg,xinc b,xineb<|im_end|>,nimens,12,5,0.38095238095238093,0.33333333333333337,2.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.07404160499572754
P0897.jpg,algin,agin<|im_end|>,algend,11,2,0.42105263157894735,0.7272727272727273,2.2,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.05967450141906738
P0602.jpg,escilex,esgil205<|im_end|>,dexilend,13,5,0.4,0.5333333333333333,1.8571428571428572,0.7142857142857143,1.0,1.0,0.0,0.0,0.0,0.0,0.13082242012023926
P0087.jpg,etorix,etorix<|im_end|>,etorix,10,0,0.5454545454545454,1.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07520842552185059
P0936.jpg,folzin,f012719<|im_end|>,filmef,14,4,0.26086956521739135,0.33333333333333337,2.3333333333333335,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.1460254192352295
P0843.jpg,ointment,ointment<|im_end|>,ointment,10,0,0.6153846153846154,1.0,1.25,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.08084917068481445
P0728.jpg,enq,enq<|im_end|>,nimens,10,4,0.375,0.4444444444444444,3.3333333333333335,1.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.06476211547851562
P1020.jpg,viglimet,viglumet<|im_end|>,viglimef,11,1,0.5384615384615384,0.875,1.375,0.125,1.0,1.0,0.0,0.0,0.0,1.0,0.09836268424987793
P0320.jpg,vonocab,vonacab<|im_end|>,vonacab,11,1,0.5,0.8571428571428572,1.5714285714285714,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,1.0,0.09497809410095215
P0849.jpg,dekalin,dekalen<|im_end|>,dekalin,10,0,0.5833333333333333,1.0,1.4285714285714286,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07948803901672363
P1109.jpg,gestrenol,деверпоп<|im_end|>,nimens,16,7,0.14814814814814814,0.2666666666666667,1.7777777777777777,0.7777777777777778,1.0,1.0,0.0,0.0,0.0,0.0,0.10611510276794434
P0495.jpg,nexe,nexe<|im_end|>,dexilend,10,5,0.4444444444444444,0.5,2.5,1.25,1.0,1.0,0.0,0.0,0.0,0.0,0.07459020614624023
