Arquivo,Gabarito,Predicao_Raw,Predicao_Fuzzy,Levenshtein_Raw,Levenshtein_Fuzzy,Similaridade_Raw,Similaridade_Fuzzy,CER_Raw,CER_Fuzzy,WER_Raw,WER_Fuzzy,Accuracy_Raw,Accuracy80_Raw,Accuracy_Fuzzy,Accuracy80_Fuzzy,Tempo_Inferencia
P0266.jpg,monfast,mon past,monfast,2,0,0.8,1.0,0.2857142857142857,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0921928882598877
P0102.jpg,rosu,rosa,rosuva,1,2,0.75,0.8,0.25,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0732889175415039
P1046.jpg,nameton,namefon,namefon,1,1,0.8571428571428572,0.8571428571428572,0.14285714285714285,0.14285714285714285,1.0,1.0,0.0,1.0,0.0,1.0,0.07650446891784668
P0793.jpg,epitra,maxim mups,exium mups,9,8,0.125,0.25,1.5,1.3333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.10831427574157715
P0903.jpg,ac pr,aupr,ac pr,2,0,0.6666666666666667,1.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1009378433227539
P0468.jpg,coralcal,con 3/2 d,halconl dx,7,8,0.23529411764705888,0.4444444444444444,0.875,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.1562361717224121
P0782.jpg,lecor,lecos,lecor,1,0,0.8,1.0,0.2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.07779741287231445
P0307.jpg,spilac,spilac,spilac,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0913543701171875
P0129.jpg,montelon,maniklon,ansilou,3,5,0.625,0.4,0.375,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.09694981575012207
P0333.jpg,rodiflex,radiflex,radiflex,1,1,0.875,0.875,0.125,0.125,1.0,1.0,0.0,1.0,0.0,1.0,0.09134078025817871
P1088.jpg,folive,folive,folive,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07193136215209961
P0089.jpg,myolax,myolax,myolax,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.08981704711914062
P0951.jpg,fenix,fenix,fenix,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07583355903625488
P0478.jpg,gavinaaf,cavinaaf,gavinaaf,1,0,0.875,1.0,0.125,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.1081855297088623
P0594.jpg,novotril,novomil,novonil,2,2,0.8,0.8,0.25,0.25,1.0,1.0,0.0,1.0,0.0,1.0,0.09475564956665039
P0973.jpg,nystat,nysht,nystat,2,0,0.7272727272727273,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.09365248680114746
P1041.jpg,prolix,probi,probio,2,2,0.7272727272727273,0.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.07578396797180176
P0045.jpg,???,doxycar,doxycap,7,7,0.0,0.0,2.3333333333333335,2.3333333333333335,1.0,1.0,0.0,0.0,0.0,0.0,0.10795235633850098
P0275.jpg,dexter,dextal,dextal,2,2,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.08997797966003418
P0276.jpg,emprelina,empalina,emprelina,2,0,0.8235294117647058,1.0,0.2222222222222222,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.10489010810852051
P0110.jpg,emep,emep,emep,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07903146743774414
P0114.jpg,klobid,klabid,klabid,1,1,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,0.10097527503967285
P0831.jpg,epitra,2 pu bxa,napa extra,6,6,0.2857142857142857,0.5,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.10870051383972168
P0057.jpg,rupin,sulbixin,ansulin,5,4,0.46153846153846156,0.5,1.0,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.10771441459655762
P0546.jpg,esonix,f58 mix,fimix,5,4,0.3076923076923077,0.36363636363636365,0.8333333333333334,0.6666666666666666,2.0,1.0,0.0,0.0,0.0,0.0,0.11099052429199219
P0783.jpg,a-fun,a-fun,a-fun,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.08987307548522949
P1067.jpg,zithrox,25 throx,thyrox,3,3,0.6666666666666667,0.7692307692307692,0.42857142857142855,0.42857142857142855,2.0,1.0,0.0,0.0,0.0,0.0,0.10737276077270508
P0825.jpg,neuro,neuro,neuro,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07239651679992676
P0895.jpg,folzin,folacin,folzin,2,0,0.7692307692307692,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.08965086936950684
P0290.jpg,voltalin,voffalix,alix,3,5,0.625,0.5,0.375,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.10776185989379883
P0382.jpg,fylox,fylox,fylox,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09102296829223633
P0595.jpg,voltalin,volta lin,voltalin,1,0,0.9411764705882353,1.0,0.125,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.09002113342285156
P0293.jpg,xinc b,xineb,xinc b,2,0,0.7272727272727273,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.09057497978210449
P0897.jpg,algin,afigin,algin,2,0,0.7272727272727273,1.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.09317827224731445
P0602.jpg,escilex,esg1205,fexo 120,5,7,0.2857142857142857,0.2666666666666667,0.7142857142857143,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.14511656761169434
P0087.jpg,etorix,etorix,etorix,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.08993077278137207
P0936.jpg,folzin,f-01270,fexo 120,6,6,0.15384615384615385,0.2857142857142857,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.16887974739074707
P0843.jpg,ointment,oinmunt,ointment,2,0,0.8,1.0,0.25,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.10829734802246094
P0728.jpg,enq,enq,enq,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07242250442504883
P1020.jpg,viglimet,vigilmed,vigfimef,3,2,0.75,0.75,0.375,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.089752197265625
P0320.jpg,vonocab,vonocab,vonocab,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.10813474655151367
